asteroid number,asteroid name,wavelength,reflectance,uncertainty
1,ceres,0.8541,1.05246,0.00065
1,ceres,0.8572,1.06438,0.00066
1,ceres,0.8604,1.05697,0.00066
1,ceres,0.8636,1.04565,0.00065
1,ceres,0.8668,1.04826,0.00065
1,ceres,0.8700,1.05437,0.00065
1,ceres,0.8733,1.05116,0.00065
1,ceres,0.8765,1.04736,0.00065
1,ceres,0.8798,1.04295,0.00065
1,ceres,0.8831,1.05437,0.00065
1,ceres,0.8864,1.05096,0.00065
1,ceres,0.8898,1.05517,0.00066
1,ceres,0.8931,1.04125,0.00065
1,ceres,0.8965,1.05447,0.00065
1,ceres,0.8999,1.04736,0.00065
1,ceres,0.9033,1.05196,0.00065
1,ceres,0.9067,1.04876,0.00065
1,ceres,0.9102,1.04656,0.00065
1,ceres,0.9136,1.04345,0.00065
1,ceres,0.9171,1.04515,0.00065
1,ceres,0.9206,1.03945,0.00065
1,ceres,0.9242,1.04505,0.00065
1,ceres,0.9277,1.03534,0.00065
1,ceres,0.9312,1.03584,0.00065
1,ceres,0.9348,1.03805,0.00065
1,ceres,0.9384,1.04786,0.00065
1,ceres,0.9420,1.04335,0.00065
1,ceres,0.9456,1.03604,0.00065
1,ceres,0.9493,1.03364,0.00065
1,ceres,0.9529,1.04325,0.00065
1,ceres,0.9566,1.03504,0.00065
1,ceres,0.9603,1.03975,0.00065
1,ceres,0.9640,1.03875,0.00058
1,ceres,0.9677,1.03865,0.00058
1,ceres,0.9752,1.03214,0.00058
1,ceres,0.9789,1.03004,0.00057
1,ceres,0.9827,1.03915,0.00058
1,ceres,0.9865,1.03224,0.00058
1,ceres,0.9903,1.03454,0.00058
1,ceres,0.9941,1.03424,0.00058
1,ceres,0.9980,1.03905,0.00058
1,ceres,1.0018,1.03404,0.00058
1,ceres,1.0057,1.04225,0.00058
1,ceres,1.0096,1.03584,0.00058
1,ceres,1.0135,1.04205,0.00058
1,ceres,1.0174,1.03154,0.00058
1,ceres,1.0213,1.03364,0.00058
1,ceres,1.0252,1.02903,0.00057
1,ceres,1.0291,1.03234,0.00058
1,ceres,1.0331,1.03244,0.00058
1,ceres,1.0371,1.03294,0.00058
1,ceres,1.0410,1.02944,0.00057
